Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Avg Time Connected,Avg Commands Run,Avg File Modifications
160,2,2022-10-21 01:14:07.611,-0.69,0,0,2022-10-21-1344_DATABASE_2_log,,,,
161,2,2022-10-21 01:14:07.611,-0.673,0,0,2022-10-21-1348_DATABASE_2_log,,,,
162,1,2022-10-21 01:14:09.135,-0.631,0,0,2022-10-21-1349_DATABASE_1_log,,,,
163,2,2022-10-21 01:14:09.148,-0.615,0,0,2022-10-21-1357_DATABASE_2_log,,,,
164,2,2022-10-21 01:14:09.149,-0.614,0,0,2022-10-21-1412_DATABASE_2_log,,,,
165,2,2022-10-21 01:14:09.151,-0.41,0,0,2022-10-21-1416_DATABASE_2_log,,,,
166,3,2022-10-21 01:14:09.152,-0.356,0,0,2022-10-21-1423_DATABASE_3_log,,,,
167,3,2022-10-21 01:14:09.152,0,0,0,2022-10-21-1443_DATABASE_3_log,,,,
168,3,2022-10-21 01:14:09.152,0.469,0,0,2022-10-21-1445_DATABASE_3_log,,,,
169,1,2022-10-21 01:14:11.161,0.47,0,0,2022-10-21-1447_DATABASE_1_log,,,,
170,4,2022-10-21 01:14:15.034,0.632,0,0,2022-10-21-1505_DATABASE_4_log,,,,
171,1,2022-10-21 01:14:25.168,0.633,0,0,2022-10-21-1511_DATABASE_1_log,,,,
172,1,2022-10-21 01:14:25.168,0.634,0,0,2022-10-21-1518_DATABASE_1_log,,,,
173,2,2022-10-21 01:18:51.023,0.634,0,0,2022-10-21-1518_DATABASE_2_log,,,,
174,1,2022-10-21 01:18:51.027,0.635,0,0,2022-10-21-1521_DATABASE_1_log,,,,
175,2,2022-10-21 01:18:51.045,0.646,0,0,2022-10-21-1556_DATABASE_2_log,,,,
176,2,2022-10-21 01:18:51.045,0.647,0,0,2022-10-21-1557_DATABASE_2_log,,,,
177,3,2022-10-21 01:18:51.045,0.65,0,0,2022-10-21-1558_DATABASE_3_log,,,,
178,3,2022-10-21 01:18:51.047,0.652,0,0,2022-10-21-1559_DATABASE_3_log,,,,
179,1,2022-10-21 01:18:51.047,0.659,0,0,2022-10-21-1607_DATABASE_1_log,,,,
180,2,2022-10-21 01:18:51.047,0.666,0,0,2022-10-21-1623_DATABASE_2_log,,,,
181,1,2022-10-21 01:18:51.048,0.667,0,0,2022-10-21-1625_DATABASE_1_log,,,,
182,4,2022-10-21 01:18:51.048,0.668,0,0,2022-10-21-1627_DATABASE_4_log,,,,
183,1,2022-10-21 01:18:51.049,0.676,0,0,2022-10-21-1643_DATABASE_1_log,,,,
184,1,2022-10-21 01:18:51.049,0.677,0,0,2022-10-21-1644_DATABASE_1_log,,,,
185,1,2022-10-21 01:18:51.049,0.677,0,0,2022-10-21-1653_DATABASE_1_log,,,,
186,3,2022-10-21 01:18:51.050,0.679,0,0,2022-10-21-1709_DATABASE_3_log,,,,
187,2,2022-10-21 01:18:51.050,-0.66,0,0,2022-10-21-1727_DATABASE_2_log,,,,
188,1,2022-10-21 01:18:51.050,0.051,0,0,2022-10-21-1728_DATABASE_1_log,,,,
189,2,2022-10-21 01:18:51.051,-0.731,0,0,2022-10-21-1744_DATABASE_2_log,,,,
190,2,2022-10-21 01:18:51.051,0.014,0,0,2022-10-21-1749_DATABASE_2_log,,,,
191,1,2022-10-21 01:18:51.051,-0.33,0,0,2022-10-21-1753_DATABASE_1_log,,,,
192,2,2022-10-21 01:18:51.052,-0.639,0,0,2022-10-21-1757_DATABASE_2_log,,,,
193,2,2022-10-21 01:18:51.052,0.063,0,0,2022-10-21-1804_DATABASE_2_log,,,,
194,2,2022-10-21 01:18:51.057,0.026,0,0,2022-10-21-1805_DATABASE_2_log,,,,
195,1,2022-10-21 01:18:51.057,0.891,0,0,2022-10-21-1811_DATABASE_1_log,,,,
196,1,2022-10-21 01:18:51.059,-0.583,0,0,2022-10-21-1817_DATABASE_1_log,,,,
197,2,2022-10-21 01:18:51.060,-0.285,0,0,2022-10-21-1822_DATABASE_2_log,,,,
198,4,2022-10-21 01:18:51.070,0.341,0,0,2022-10-21-1834_DATABASE_4_log,,,,
199,3,2022-10-21 01:18:51.070,0.036,0,0,2022-10-21-1845_DATABASE_3_log,,,,
200,1,2022-10-21 01:18:51.074,0.053,0,0,2022-10-21-1903_DATABASE_1_log,,,,
201,2,2022-10-21 01:18:51.075,-0.85,0,0,2022-10-21-1904_DATABASE_2_log,,,,
202,2,2022-10-21 01:18:51.075,-0.849,0,0,2022-10-21-1905_DATABASE_2_log,,,,
203,4,2022-10-21 01:18:51.075,-0.848,0,0,2022-10-21-1911_DATABASE_4_log,,,,
204,2,2022-10-21 01:18:51.076,-0.847,0,0,2022-10-21-1916_DATABASE_2_log,,,,
205,2,2022-10-21 01:18:51.077,-0.845,0,0,2022-10-21-1917_DATABASE_2_log,,,,
206,4,2022-10-21 01:18:51.080,-0.844,0,0,2022-10-21-1922_DATABASE_4_log,,,,
207,4,2022-10-21 01:18:51.574,-0.839,0,0,2022-10-21-1927_DATABASE_4_log,,,,
208,3,2022-10-21 01:18:51.742,-0.838,0,0,2022-10-21-1932_DATABASE_3_log,,,,
209,2,2022-10-21 01:18:51.745,-0.838,0,0,2022-10-21-1933_DATABASE_2_log,,,,
210,4,2022-10-21 01:18:52.514,-0.836,0,0,2022-10-21-1934_DATABASE_4_log,,,,
211,1,2022-10-21 01:18:52.514,-0.831,0,0,2022-10-21-1947_DATABASE_1_log,,,,
212,2,2022-10-21 01:18:08.304,-0.829,0,0,2022-10-21-1955_DATABASE_2_log,,,,
213,4,2022-10-21 01:20:46.351,-0.829,0,0,2022-10-21-1955_DATABASE_4_log,,,,
214,2,2022-10-21 01:26:27.837,-0.827,0,0,2022-10-21-2009_DATABASE_2_log,,,,
215,2,2022-10-21 01:26:27.839,-0.824,0,0,2022-10-21-2013_DATABASE_2_log,,,,
216,2,2022-10-21 01:26:27.840,-0.823,0,0,2022-10-21-2022_DATABASE_2_log,,,,
217,1,2022-10-21 01:26:27.841,-0.822,0,0,2022-10-21-2030_DATABASE_1_log,,,,
218,1,2022-10-21 01:26:27.841,0.231,0,0,2022-10-21-2032_DATABASE_1_log,,,,
219,1,2022-10-21 01:26:27.842,0.501,1,0,2022-10-21-2033_DATABASE_1_log,,,,
220,1,2022-10-21 01:26:27.842,-0.652,0,0,2022-10-21-2037_DATABASE_1_log,,,,
221,1,2022-10-21 01:26:27.843,-0.239,0,0,2022-10-21-2038_DATABASE_1_log,,,,
222,4,2022-10-21 01:26:27.843,0.035,0,0,2022-10-21-2039_DATABASE_4_log,,,,
223,1,2022-10-21 01:26:27.851,-0.717,0,0,2022-10-21-2040_DATABASE_1_log,,,,
224,1,2022-10-21 01:26:27.851,-0.232,3,0,2022-10-21-2042_DATABASE_1_log,,,,
225,1,2022-10-21 01:26:27.854,-0.182,0,0,2022-10-21-2044_DATABASE_1_log,,,,
226,2,2022-10-21 01:26:27.855,-0.126,0,0,2022-10-21-2045_DATABASE_2_log,,,,
227,1,2022-10-21 01:26:27.857,0.222,0,0,2022-10-21-2054_DATABASE_1_log,,,,
228,3,2022-10-21 01:26:27.857,0.062,0,0,2022-10-21-2058_DATABASE_3_log,,,,
229,3,2022-10-21 01:26:27.857,0.063,0,0,2022-10-21-2059_DATABASE_3_log,,,,
230,1,2022-10-21 01:26:27.859,-0.063,0,0,2022-10-21-2112_DATABASE_1_log,,,,
231,2,2022-10-21 01:26:27.859,0.163,0,0,2022-10-21-2113_DATABASE_2_log,,,,
232,3,2022-10-21 01:26:27.860,0.193,0,0,2022-10-21-2113_DATABASE_3_log,,,,
233,4,2022-10-21 01:26:29.981,0.204,0,0,2022-10-21-2113_DATABASE_4_log,,,,
234,4,2022-10-21 01:31:57.507,0.206,0,0,2022-10-21-2118_DATABASE_4_log,,,,
235,3,2022-10-21 01:31:57.521,0.207,0,0,2022-10-21-2120_DATABASE_3_log,,,,
236,3,2022-10-21 01:31:57.522,0.208,0,0,2022-10-21-2121_DATABASE_3_log,,,,
237,4,2022-10-21 01:31:57.523,0.218,0,0,2022-10-21-2127_DATABASE_4_log,,,,
238,4,2022-10-21 01:31:57.523,0.247,0,0,2022-10-21-2132_DATABASE_4_log,,,,
239,2,2022-10-21 01:31:57.524,0.248,72,73,2022-10-21-2133_DATABASE_2_log,,,,
240,3,2022-10-21 01:31:57.525,0.248,0,0,2022-10-21-2138_DATABASE_3_log,,,,
241,3,2022-10-21 01:31:57.525,0.264,0,0,2022-10-21-2139_DATABASE_3_log,,,,
242,3,2022-10-21 01:31:57.526,0.282,0,0,2022-10-21-2141_DATABASE_3_log,,,,
243,3,2022-10-21 01:31:57.526,0.025,0,0,2022-10-21-2147_DATABASE_3_log,,,,
244,2,2022-10-21 01:31:57.527,-0.197,0,0,2022-10-21-2148_DATABASE_2_log,,,,
245,1,2022-10-21 01:31:57.527,0.042,2,0,2022-10-21-2149_DATABASE_1_log,,,,
246,2,2022-10-21 01:31:57.528,0.042,0,0,2022-10-21-2149_DATABASE_2_log,,,,
247,4,2022-10-21 01:31:57.528,0.182,0,0,2022-10-21-2150_DATABASE_4_log,,,,
248,1,2022-10-21 01:31:57.528,0.183,6,0,2022-10-21-2151_DATABASE_1_log,,,,
249,4,2022-10-21 01:31:57.529,0.183,0,0,2022-10-21-2153_DATABASE_4_log,,,,
250,1,2022-10-21 01:31:57.529,0.186,5,0,2022-10-21-2155_DATABASE_1_log,,,,
251,1,2022-10-21 01:31:57.530,0.187,5,0,2022-10-21-2156_DATABASE_1_log,,,,
252,2,2022-10-21 01:31:57.530,0.188,0,0,2022-10-21-2159_DATABASE_2_log,,,,
253,1,2022-10-21 01:31:57.530,0.189,0,0,2022-10-21-2204_DATABASE_1_log,,,,
254,1,2022-10-21 01:31:57.531,0.189,0,0,2022-10-21-2208_DATABASE_1_log,,,,
255,2,2022-10-21 01:31:57.531,0.19,0,0,2022-10-21-2208_DATABASE_2_log,,,,
256,3,2022-10-21 01:31:57.532,0.192,0,0,2022-10-21-2208_DATABASE_3_log,,,,
257,4,2022-10-21 01:31:57.532,0.203,0,0,2022-10-21-2208_DATABASE_4_log,,,,
258,1,2022-10-21 01:31:57.532,0.211,0,0,2022-10-21-2216_DATABASE_1_log,,,,
259,2,2022-10-21 01:31:57.533,0.212,0,0,2022-10-21-2216_DATABASE_2_log,,,,
260,3,2022-10-21 01:31:57.533,0.212,0,0,2022-10-21-2217_DATABASE_3_log,,,,
261,4,2022-10-21 01:31:57.533,0.214,0,0,2022-10-21-2217_DATABASE_4_log,,,,
262,1,2022-10-21 01:31:57.536,0.217,0,0,2022-10-21-2223_DATABASE_1_log,,,,
